1	歡迎
2	收看
3	香港電台
4	天氣簡報
5	天氣主播
6	錄得
7	氣溫
8	相對濕度
9	天氣預測
10	百分之
11	本港
12	各個地區
13	驟雨
15	狂風雷暴
16	吹
17	和緩
18	清勁
19	風
20	初時
23	強風
24	之後
25	直至
26	下午
27	一兩日
28	雨勢
29	有時
31	介乎
32	至
33	度
34	今晚
35	5時 五時
36	同
37	明日
38	大致
39	多雲
40	間中
41	有
42	頗大
43	下週
44	中期
45	仍有
46	預測
47	最高
48	紫外線指數
49	強度
50	屬於
51	中等
52	睇下
53	內地
54	城市
56	是
57	天氣
58	北京
59	青島
60	有雨
63	雷暴警告 雷暴
64	嚴寒
65	寒冷
66	清涼
67	和暖
68	溫暖
69	炎熱
70	酷熱
71	乾燥
72	潮濕
73	無風
74	非常乾燥
75	非常潮濕
76	東
77	南
78	西南
79	西
80	北
81	東南
82	東北
83	西北
85	上午 早上
86	晚上
87	低
88	高
89	甚高
90	極高
91	雨
92	毛毛雨
93	雷雨
94	狂風驟雨
95	狂風
96	局部地區性驟雨
97	零散驟雨
98	間中有驟雨
100	天色明朗
101	短暫時間有陽光
102	部分時間有陽光
104	密雲
105	天陰
106	天晴
107	微風
108	暴風 颱風
112	熱帶風暴
113	颱風
114	強風信號一號 一號強風信號 一號風球
115	三號強風信號 強風信號三號 三號風球
116	八號烈風或暴風信號 八號風球
117	九號烈風增強信號 九號風球
118	十號颶風信號 十號風球
120	持續強風
121	冬季
122	夏季
123	春季
124	秋季
125	回南天
126	警告
127	黃色
128	紅色
129	黑色
130	暴雨
133	逐步
134	回升
136	香港天文台
138	能見度
139	下降
140	海上
141	山區
142	中心附近
143	低於正常
145	低能見度
146	偏南
147	偏西
148	偏北
149	氣流
150	入冬以來
152	地區
153	溫差較大
154	寒潮來襲
155	驟降
156	熱浪
158	高溫
159	低溫
161	溫度穩定
162	四季分明
163	逐漸回暖
164	白天溫暖
165	夜間
168	持續性降雨
169	冷風
170	白天
171	大雨
172	閃電雷擊
173	乾冷
174	濕冷
175	天空放晴
176	持續
177	嚴寒天氣
178	嚴寒
179	移動 搬
180	預料
151	顯示
131	中午
132	逐漸
109	下週初
110	下週中期
111	未來一兩日
119	隨後一兩日
166	二十四小時內
167	其後四十八小時
55	影響
22	同時
14	雲帶
21	雲量
30	進行
103	戶外活動
84	沿岸
137	覆蓋範圍
144	局部地區
135	本港地區
99	沿岸地區
194	部分地區
195	香港各地區
196	本港其他地區
197	一兩陣微雨
61	霧
62	下雨
157	較多
181	會
182	多
183	市區溫度
184	日間
185	早晚
186	昨日 昨天
187	晚間
188	時數
189	週末
190	最低
191	新界
192	最遲
193	仍然
160	另外
198	中部
199	東部
200	南部
201	西部
202	北部
203	東北部
204	東南部
205	西南部
206	西北部
207	中間
208	以南
209	以北
210	位於
211	旁
212	對出
213	鄰近 最近
214	兩旁
215	時間差不多
216	差不多了
217	大家
218	再見
219	世界各地
220	主要
221	海南島 海南
222	南海
223	華南
224	廣東省 廣東
225	南海北部
226	中國
227	成都
228	杭州
229	武漢
230	南京
231	海口
232	桂林
233	廣東
234	廣州
235	一星期
236	星期一
237	星期二
238	星期三
239	星期四
240	星期五
241	星期六
242	星期日
243	0
244	1
245	2
246	3
247	4
248	5
249	6
250	7
251	8
252	9
253	10
254	11
255	12
256	13
257	14
258	15
259	16
260	17
261	18
262	19
263	20
264	21
265	22
266	23
267	24
268	25
269	26
270	27
271	28
272	29
273	30
274	31
275	32
276	33
277	34
278	35
279	36
280	37
281	38
282	39
283	40
284	41
285	42
286	43
287	44
288	45
289	46
290	47
291	48
292	49
293	50
294	51
295	52
296	53
297	54
298	55
299	56
300	57
301	58
302	59
303	60
311	61
312	62
313	63
314	64
315	65
316	66
317	67
318	68
319	69
320	70
321	71
322	72
323	73
324	74
325	75
326	76
327	77
328	78
329	79
330	80
331	81
332	82
333	83
334	84
335	85
336	86
337	87
338	88
339	89
340	90
341	91
342	92
343	93
344	94
345	95
346	96
347	97
348	98
349	99
350	100
